"match_id","date","p1_id","p2_id","match_winner","match_history"
1,"2023-10-14 02:25:20",1,2,1,"1. P1:C8 2. P2:C5 3. P1:C7 4. P2:C2 5. P1:C6 "
2,"2023-10-14 02:27:41",1,2,2,"1. P1:C7 2. P2:C5 3. P1:C8 4. P2:C3 5. P1:C2 6. P2:C6 7. P1:C4 8. P2:C0 "
3,"2023-10-14 02:27:51",1,2,2,"1. P1:C2 2. P2:C4 3. P1:C8 4. P2:C5 5. P1:C3 6. P2:C7 7. P1:C0 8. P2:C1 "
4,"2023-10-14 02:27:58",1,2,1,"1. P1:C6 2. P2:C3 3. P1:C5 4. P2:C8 5. P1:C4 6. P2:C1 7. P1:C2 "
5,"2023-10-14 02:28:06",1,2,0,"1. P1:C0 2. P2:C4 3. P1:C3 4. P2:C6 5. P1:C7 6. P2:C1 7. P1:C8 8. P2:C5 9. P1:C2 "
6,"2023-10-14 02:28:14",1,2,0,"1. P1:C4 2. P2:C2 3. P1:C5 4. P2:C8 5. P1:C7 6. P2:C1 7. P1:C0 8. P2:C3 9. P1:C6 "
7,"2023-10-14 02:28:20",1,2,1,"1. P1:C6 2. P2:C4 3. P1:C8 4. P2:C2 5. P1:C7 "
8,"2023-10-14 18:27:28",1,2,2,"1. P1:C0 2. P2:C5 3. P1:C8 4. P2:C4 5. P1:C7 6. P2:C3 "
9,"2023-10-14 23:00:05",1,2,1,"1. P1:C0 2. P2:C2 3. P1:C8 4. P2:C5 5. P1:C4 "
10,"2023-10-15 12:38:40",1,2,0,"1. P1:C0 2. P2:C2 3. P1:C4 4. P2:C8 5. P1:C5 6. P2:C3 7. P1:C1 8. P2:C7 9. P1:C6 "
11,"2023-10-15 13:41:16",1,2,1,"1. P1:C4 2. P2:C2 3. P1:C8 4. P2:C5 5. P1:C0 "
12,"2023-10-15 13:44:08",1,2,2,"1. P1:C2 2. P2:C4 3. P1:C5 4. P2:C8 5. P1:C1 6. P2:C0 "
13,"2023-10-15 13:48:34",1,2,2,"1. P1:C8 2. P2:C2 3. P1:C6 4. P2:C4 5. P1:C5 6. P2:C7 7. P1:C3 8. P2:C1 "
14,"2023-10-15 21:36:54",1,2,2,"1. P1:C0 2. P2:C5 3. P1:C2 4. P2:C7 5. P1:C4 6. P2:C8 7. P1:C3 8. P2:C6 "
15,"2023-10-15 21:50:08",1,2,1,"1. P1:C0 2. P2:C2 3. P1:C8 4. P2:C7 5. P1:C4 "
16,"2023-10-15 21:52:12",1,2,1,"1. P1:C0 2. P2:C5 3. P1:C7 4. P2:C4 5. P1:C8 6. P2:C2 7. P1:C6 "
17,"2023-10-15 22:33:47",1,2,1,"1. P1:C2 2. P2:C8 3. P1:C4 4. P2:C5 5. P1:C7 6. P2:C1 7. P1:C6 "
18,"2023-10-15 23:10:44",1,2,1,"1. P1:C0 1. P1:C1 2. P2:C5 1. P1:C0 1. P1:C4 2. P2:C5 1. P1:C8 "
19,"2023-10-15 23:10:49",1,2,1,"1. P1:C0 1. P1:C1 2. P2:C5 1. P1:C0 1. P1:C4 2. P2:C5 1. P1:C8 1. P1:C7 "
20,"2023-10-15 23:22:41",1,2,1,"1. P1:C0 2. P2:C4 3. P1:C1 4. P2:C2 5. P1:C5 6. P2:C8 7. P1:C6 8. P2:C7 9. P1:C3 "
21,"2023-10-15 23:24:00",1,2,1,"1. P1:C2 2. P2:C5 3. P1:C4 4. P2:C8 5. P1:C6 "
22,"2023-10-15 23:25:05",1,2,0,"1. P1:C0 2. P2:C5 3. P1:C2 4. P2:C1 5. P1:C8 6. P2:C4 7. P1:C7 8. P2:C6 9. P1:C3 "
23,"2023-10-15 23:25:40",1,2,1,"1. P1:C0 2. P2:C1 3. P1:C4 4. P2:C2 5. P1:C5 6. P2:C8 7. P1:C7 8. P2:C6 9. P1:C3 "
24,"2023-10-15 23:25:43",1,2,1,"1. P1:C3 2. P2:C0 3. P1:C4 4. P2:C1 5. P1:C2 6. P2:C8 7. P1:C5 "
25,"2023-10-15 23:25:46",1,2,2,"1. P1:C0 2. P2:C6 3. P1:C7 4. P2:C4 5. P1:C3 6. P2:C1 7. P1:C5 8. P2:C2 "
26,"2023-10-15 23:25:52",1,2,0,"1. P1:C4 2. P2:C8 3. P1:C5 4. P2:C2 5. P1:C1 6. P2:C7 7. P1:C6 8. P2:C3 9. P1:C0 "
27,"2023-10-15 23:25:56",1,2,2,"1. P1:C0 2. P2:C8 3. P1:C5 4. P2:C7 5. P1:C4 6. P2:C6 "
28,"2023-10-15 23:26:01",1,2,1,"1. P1:C0 2. P2:C4 3. P1:C1 4. P2:C2 5. P1:C8 6. P2:C5 7. P1:C6 8. P2:C7 9. P1:C3 "
29,"2023-10-15 23:27:34",1,2,1,"1. P1:C1 2. P2:C5 3. P1:C4 4. P2:C2 5. P1:C8 6. P2:C6 7. P1:C7 "
30,"2023-10-15 23:27:40",1,2,0,"1. P1:C3 2. P2:C0 3. P1:C2 4. P2:C5 5. P1:C7 6. P2:C4 7. P1:C8 8. P2:C6 9. P1:C1 "
31,"2023-10-21 15:52:29",1,2,1,"1. P1:C0 2. P1:C5 3. P1:C1 4. P1:C4 5. P1:C2 "
32,"2023-10-21 17:27:06",1,2,1,"1. P1:C5 2. P2:C0 2. P2:C7 3. P1:C0 3. P1:C2 4. P2:C0 4. P2:C4 5. P1:C0 "
33,"2023-10-21 18:59:04",1,2,1,"1. P1:C0 2. P2:C2 3. P1:C4 4. P2:C3 5. P1:C1 6. P2:C6 7. P1:C7 "
34,"2023-10-21 18:59:12",1,2,1,"1. P1:C4 2. P2:C1 3. P1:C5 4. P2:C6 5. P1:C2 6. P2:C3 7. P1:C8 "
35,"2023-10-21 18:59:26",1,2,2,"1. P1:C4 2. P2:C2 3. P1:C0 4. P2:C8 5. P1:C3 6. P2:C5 "
36,"2023-10-22 12:24:18",1,2,2,"1. P1:C4 2. P2:C0 3. P1:C8 4. P2:C6 5. P1:C5 6. P2:C3 "
37,"2023-10-22 12:24:51",1,2,0,"1. P1:C1 2. P2:C4 3. P1:C0 4. P2:C2 5. P1:C6 6. P2:C3 7. P1:C5 8. P2:C8 9. P1:C7 "
38,"2023-10-22 12:25:20",1,2,1,"1. P1:C4 2. P2:C0 3. P1:C2 4. P2:C6 5. P1:C5 6. P2:C8 7. P1:C3 "
39,"2023-10-26 10:20:44",1,2,1,"1. P1:C0 2. P2:C7 3. P1:C8 4. P2:C4 5. P1:C1 6. P2:C2 7. P1:C6 8. P2:C5 9. P1:C3 "
40,"2023-10-26 10:22:02",1,2,0,"1. P1:C7 2. P2:C5 3. P1:C4 4. P2:C1 5. P1:C2 6. P2:C6 7. P1:C8 8. P2:C0 9. P1:C3 "
41,"2023-10-26 10:22:13",1,2,2,"1. P1:C0 2. P2:C2 3. P1:C1 4. P2:C4 5. P1:C8 6. P2:C6 "
42,"2023-10-26 10:55:18",1,2,1,"1. P1:C0 2. P2:C1 3. P1:C4 4. P2:C2 5. P1:C8 "
43,"2023-10-27 10:36:59",1,2,1,"1. P1:C0 2. P2:C1 2. P2:C5 3. P1:C2 3. P1:C7 4. P2:C4 "
44,"2023-10-27 10:37:24",1,2,1,"1. P1:C0 2. P2:C1 2. P2:C5 3. P1:C2 3. P1:C7 4. P2:C4 "
45,"2023-10-27 10:48:06",1,2,0,"1. P1:C0 2. P2:C1 3. P1:C5 4. P2:C3 5. P1:C2 6. P2:C8 7. P1:C4 8. P2:C6 9. P1:C7 "
